Twitter Users,Retweeted User,Retweets,Generation,User followers
Notyour28981739,HighWireTalk,493,1,6927
ChildrensHD,RobertKennedyJr,492,1,96112
eileeniorio,bmj_latest,491,1,20661
ClareCraigPath,Togetherdec,490,1,96522
waynerohde,P_McCulloughMD,488,1,3767
RobertKennedyJr,RandPaul,486,1,332125
ChildrensHD,RobertKennedyJr,485,1,76431
ChildrensHD,RobertKennedyJr,485,1,107239
avoiceforchoice,ElectionWiz,484,1,8342
ClareCraigPath,EssexPR,480,1,73940
YardleyShooting,JamesMelville,479,1,56194
sallyKP,uTobian,478,1,12076
ClareCraigPath,DrHoenderkamp,477,1,78147
TonyHinton2016,DrHoenderkamp,475,2,60101
brownstoneinst,DrJBhattacharya,473,2,19251
JeffereyJaxen,uTobian,471,1,15223
ChildrensHD,RobertKennedyJr,470,1,69448
HegKong,rick_pittman,470,1,31769
Notyour28981739,GenRescue,470,1,7833
jorient,uTobian,468,1,7355
Notyour28981739,HegKong,467,1,6778
JeffereyJaxen,DrJBhattacharya,465,2,30077
Believe_Mothers,RobertKennedyJr,462,1,5640
Believe_Mothers,ICANdecide,462,1,4148
ChildrensHD,RobertKennedyJr,461,1,83760
sallyKP,justiceforevee,461,1,14282
Notyour28981739,uTobian,460,1,6719
ajlamesa,BallouxFrancois,460,3,11734
ChildrensHD,RobertKennedyJr,456,1,53229
JeffereyJaxen,MartinKulldorff,456,1,21793
ChildrensHD,RobertKennedyJr,454,1,51149
ClareCraigPath,cricketwyvern,453,1,88688
ChildrensHD,RobertKennedyJr,451,1,88712
Notyour28981739,RepThomasMassie,448,1,6965
sallyKP,robinmonotti,445,1,12449
ChildrensHD,RobertKennedyJr,444,1,98569
jorient,ezralevant,442,1,8384
ClareCraigPath,ianmSC,441,1,118716
jorient,dockaurG,441,1,7355
ChildrensHD,RobertKennedyJr,439,2,108305
ClareCraigPath,JamesMelville,439,1,111731
ClareCraigPath,VPrasadMDMPH,438,2,119680
ClareCraigPath,ianmSC,437,1,78638
waynerohde,RepThomasMassie,435,1,3197
jorient,HighWireTalk,435,1,8333
avoiceforchoice,delbigtree,434,1,7172
GenRescue,HighWireTalk,432,1,19783
ClareCraigPath,nadhimzahawi,429,1,39906
hibbsy1973,YardleyShooting,427,2,3002
jorient,ollysmithtravel,426,1,8661
ChildrensHD,RobertKennedyJr,423,1,87878
uTobian,science_cited,421,1,31577
ChildrensHD,RobertKennedyJr,419,1,87442
SNCCLA,ChildrensHD,419,1,5626
uTobian,RobertKennedyJr,418,1,33126
ClareCraigPath,ianmSC,418,1,76803
justiceforevee,eileeniorio,418,1,11518
ChGefaell,ClareCraigPath,418,3,6748
ChildrensHD,RobertKennedyJr,415,1,51548
Notyour28981739,uTobian,413,1,6777
ChildrensHD,RobertKennedyJr,411,1,98576
JeffereyJaxen,HighWireTalk,410,1,27934
GenRescue,RobertKennedyJr,409,1,20447
ClareCraigPath,MaajidNawaz,407,1,77307
Notyour28981739,richardursomd,406,1,12454
dockaurG,MartinKulldorff,404,4,172604
ChildrensHD,RobertKennedyJr,401,1,83667
eileeniorio,RobertKennedyJr,401,1,16248
SNCCLA,uTobian,399,1,5662
ChildrensHD,RobertKennedyJr,398,1,86449
ChildrensHD,RobertKennedyJr,396,1,97614
Notyour28981739,robinmonotti,395,1,8091
BeckyJohnson222,RobertKennedyJr,395,1,4932
kksheld,akheriaty,395,2,117921
DrAseemMalhotra,ClareCraigPath,394,2,185193
barnes_law,akheriaty,394,2,239594
AnimalsRule9,JamesMelville,392,3,1147
justiceforevee,delbigtree,391,1,11937
